,First,Last,Nickname,Ht.,Wt.,Reach,Ht. (m),Wt. (kg),Reach. (cm),Stance,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,W,L,D
3238,Gabriel,Salinas-Jones,,"6' 1""",245 lbs.,--,1.85,111.36,,,"Nov20,1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1
3239,Brandon,Saling,White Steel,"5' 10""",170 lbs.,--,1.78,77.27,,,"Jan28,1986",2.88,40.0,6.08,20.0,0.0,0.0,57.0,0.0,8,6,0
3240,Quillan,Salkilld,,"6' 0""",155 lbs.,"76.0""",1.83,70.45,193.04,Orthodox,"Dec28,1999",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
3241,Sean,Salmon,,"5' 10""",185 lbs.,--,1.78,84.09,,Southpaw,"Sep11,1977",1.49,33.0,2.03,65.0,4.06,50.0,0.0,0.0,18,21,0
3242,Boston,Salmon,Boom Boom,"5' 9""",135 lbs.,"69.0""",1.75,61.36,175.26,Southpaw,"Nov20,1990",4.13,37.0,7.75,59.0,0.0,0.0,100.0,0.0,6,3,0
3243,John,Salter,,"6' 1""",185 lbs.,"74.0""",1.85,84.09,187.96,Southpaw,"Mar21,1985",1.68,32.0,1.68,68.0,2.85,46.0,66.0,0.5,14,3,0
3244,Vinicius,Salvador,,"5' 7""",125 lbs.,"70.0""",1.7,56.82,177.8,Southpaw,"Jul24,1996",5.44,42.0,6.05,49.0,0.38,11.0,86.0,0.0,14,6,0
3245,Dylan,Salvador,,"5' 9""",155 lbs.,"69.0""",1.75,70.45,175.26,Southpaw,"May20,1993",4.34,37.0,11.57,46.0,0.0,0.0,0.0,0.0,5,2,0
3246,Josh,Samman,Anqa,"6' 3""",185 lbs.,"79.0""",1.91,84.09,200.66,Orthodox,"Mar14,1988",2.08,52.0,2.47,34.0,1.09,33.0,33.0,0.4,13,4,0
3247,Johnny,Sampaio,,"5' 8""",170 lbs.,--,1.73,77.27,,Orthodox,"Sep11,1975",1.32,40.0,2.64,50.0,9.89,50.0,0.0,9.9,3,1,0
3248,Josh,Sampo,The Gremlin,"5' 4""",125 lbs.,"64.0""",1.63,56.82,162.56,Orthodox,"Jul24,1984",1.99,36.0,2.96,55.0,1.06,33.0,40.0,2.1,11,5,0
3249,Josh,San Diego,JSD,"5' 10""",135 lbs.,--,1.78,61.36,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,0
3250,Diego,Sanchez,Nightmare,"5' 10""",170 lbs.,"72.0""",1.78,77.27,182.88,Southpaw,"Dec31,1981",2.69,37.0,3.02,56.0,1.51,24.0,46.0,0.8,31,13,0
3251,Eddie,Sanchez,The Manic Hispanic,"6' 2""",230 lbs.,"74.0""",1.88,104.55,187.96,Orthodox,"Nov04,1982",3.45,43.0,3.3,43.0,1.13,26.0,42.0,0.0,15,8,0
3252,Julian,Sanchez,,"6' 3""",300 lbs.,--,1.91,136.36,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
3253,Bobby,Sanchez,The Kid,"5' 7""",155 lbs.,--,1.7,70.45,,Orthodox,--,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,10,35,0
3254,Donald,Sanchez,,"5' 10""",145 lbs.,--,1.78,65.91,,,"Aug18,1984",0.58,50.0,1.16,55.0,0.0,0.0,50.0,0.0,31,17,0
3255,Joby,Sanchez,,"5' 6""",135 lbs.,"68.0""",1.68,61.36,172.72,Orthodox,"Jun24,1991",3.22,36.0,2.82,63.0,0.95,71.0,51.0,0.4,11,4,0
3256,Emmanuel,Sanchez,El Matador,"5' 9""",145 lbs.,"71.0""",1.75,65.91,180.34,,"Aug11,1990",4.45,35.0,4.17,55.0,0.25,6.0,16.0,0.5,15,3,0
3257,Erick,Sanchez,,"5' 10""",145 lbs.,--,1.78,65.91,,,"Oct04,1990",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,0
3258,Andrew,Sanchez,El Dirte,"6' 1""",185 lbs.,"74.0""",1.85,84.09,187.96,Orthodox,"Apr08,1988",4.3,43.0,5.1,50.0,2.55,36.0,100.0,0.0,13,7,0
